0.000000	0.207981	N
0.207981	2.106933	A:maj
2.106933	4.023972	C#:min
4.023972	7.867090	B:maj
7.867090	9.829342	A:maj
9.829342	11.737337	C#:min
11.737337	15.580456	B:maj
15.580456	17.506537	A:maj
17.506537	19.351234	C#:min
19.351234	23.221481	B:maj
23.221481	25.210860	A:maj
25.210860	27.127898	C#:min
27.127898	30.907718	B:maj
30.907718	32.842842	A:maj
32.842842	34.757610	C#:min
34.757610	38.574305	B:maj
38.574305	40.548581	A:maj
40.548581	42.421611	E:maj
42.421611	46.252043	B:maj
46.252043	48.276941	A:maj
48.276941	50.116223	C#:min
50.116223	53.963529	B:maj
53.963529	55.427362	A:maj
55.427362	55.608759	B:(1,5)
55.608759	57.802398	C#:min
57.802398	61.658141	B:maj
61.658141	63.109318	A:maJ
63.109318	63.529477	B:(1,5)
63.529477	65.499592	C#:min
65.499592	69.313880	B:maj
69.313880	71.239015	A:maj
71.239015	73.155155	C#:min
73.155155	77.014422	B:maj
77.014422	78.894578	A:maj
78.894578	80.855698	C#:min
80.855698	84.723961	B:maj
84.723961	86.649097	A:maj
86.649097	88.538248	C#:min
88.538248	92.433499	B:maj
92.433499	93.550283	A:maj
93.550283	94.286667	B:(1,5)
94.286667	96.202807	C#:min
96.202807	100.017095	B:maj
100.017095	102.005202	A:maj
102.005202	103.885358	E:maj
103.885358	107.708641	B:maj
107.708641	109.606789	A:maj
109.606789	111.630880	C#:min
111.630880	115.409184	B:maj
115.409184	116.839542	A:maj
116.839542	117.140344	B:(1,5)
117.140344	119.250459	C#:min
119.250459	123.118723	B:maj
123.118723	124.567072	A:maj
124.567072	124.767459	B:(1,5)
124.767459	126.951002	C#:maj
126.951002	130.738302	B:maj
130.738302	132.690425	A:maj
132.690425	134.606565	B:maj
134.606565	136.513709	C#:min
136.513709	137.494268	D#:min
137.494268	138.447840	E:maj
138.447840	140.354984	A:maj
140.354984	142.316103	G#:min
142.316103	146.148383	B:maj
146.148383	147.560749	A:maj
147.560749	147.834421	B:(1,5)
147.834421	149.971666	C#:min
149.971666	153.830933	B:maj
153.830933	155.729081	A:maj
155.729081	157.654217	C#:min
157.654217	161.477500	B:maj
161.477500	163.411632	A:maj
163.411632	165.354760	E:maj
165.354760	169.160051	B:maj
169.160051	171.076191	A:maj
171.076191	173.010322	E:maj
173.010322	176.860594	B:maj
176.860594	178.263964	A:maj
178.263964	178.473855	B:(1,5)
178.473855	180.485966	C#:min
180.485966	184.534148	B:maj
184.534148	185.973502	A:maj
185.973502	186.171413	B(1,5)
186.171413	188.348436	C#:min
188.348436	192.234691	B:maj
192.234691	193.575089	A:maj
193.575089	193.808984	B:(1,5)
193.805446	196.066970	C#:min
196.066970	199.764310	B:maj
199.764310	201.329608	A:maj
201.329608	201.554340	B:(1,5)
201.554340	203.749521	C#:min
203.749521	207.545817	B:maj
207.545817	209.578904	A:maj
209.578904	211.576007	C#:min
211.576007	217.779236	B:maj
