,Song No.,Frame No.,chroma_cqt C,chroma_cqt C#,chroma_cqt D,chroma_cqt D#,chroma_cqt E,chroma_cqt F,chroma_cqt F#,chroma_cqt G,chroma_cqt G#,chroma_cqt A,chroma_cqt A#,chroma_cqt B,chroma_cens C,chroma_cens C#,chroma_cens D,chroma_cens D#,chroma_cens E,chroma_cens F,chroma_cens F#,chroma_cens G,chroma_cens G#,chroma_cens A,chroma_cens A#,chroma_cens B,label
0,6,1,0.6192445158958435,0.667591392993927,0.6215758323669434,0.869821310043335,1.0,0.8504230976104736,0.4141198992729187,0.4794289171695709,0.8654336929321289,0.5373541712760925,0.4208586812019348,0.6670579314231873,0.30499948752279465,0.19352265227009463,0.20796906744530091,0.2822811562421012,0.19095478204780586,0.21408794938910053,0.3014244097968012,0.2625265167726741,0.2525618394685218,0.36997427714032316,0.23577426061857662,0.4982552913151775,N
1,6,2,0.5489969253540039,0.33175554871559143,0.40570178627967834,0.8754498958587646,0.8468452095985413,0.5655626654624939,0.3245862126350403,0.4070369005203247,0.7594857215881348,0.9490617513656616,0.6356764435768127,1.0,0.3020455557192352,0.19283608744187988,0.2054731165841413,0.27376031623688624,0.18739671584357773,0.21432443130576678,0.3114494827775336,0.2655952147790716,0.251056160276754,0.37041457792816945,0.2413562516427575,0.4973285920841063,N
2,6,3,0.4251089096069336,0.3438151478767395,0.46065473556518555,1.0,0.45781219005584717,0.3778860569000244,0.5360315442085266,0.6556048393249512,0.36934542655944824,0.44198495149612427,0.2963729202747345,0.593133270740509,0.2986273357295119,0.1919459053511737,0.20280849608282928,0.2660460801223829,0.18437982972733408,0.21537401876757906,0.3218908235462911,0.2688102984062607,0.24941311059606608,0.37056565275010883,0.24695402337174288,0.4952777202382373,N
3,6,4,0.9637804627418518,0.5512785315513611,0.3704717457294464,0.945521354675293,0.38002604246139526,0.3674617111682892,0.7167447805404663,0.5358923673629761,0.7000239491462708,0.8408725261688232,0.5027258396148682,1.0,0.294684924004277,0.1907764041796979,0.1999085994571996,0.2590878672327503,0.18170700952866267,0.21710192816995574,0.3328870553351841,0.27240196139643225,0.24751435828160684,0.37052613483555974,0.2527107603203944,0.49202863823759424,N
4,6,5,0.4141678214073181,0.29508715867996216,0.4166021943092346,0.5399467945098877,0.22126466035842896,0.3160082995891571,0.36139023303985596,0.24701695144176483,0.365106999874115,0.6220437288284302,0.32607725262641907,1.0,0.2901678613448098,0.18926751852023932,0.19671914120790163,0.25274389831931154,0.1793155033865129,0.21939910099465562,0.3445331574444843,0.276624959391008,0.24535761326694666,0.37036101251583575,0.2585448478774339,0.4875191931278359,N
5,6,6,0.5142695903778076,0.3732394874095917,0.6090144515037537,0.39270877838134766,0.16973356902599335,0.2199881374835968,0.256950706243515,0.2899201512336731,0.4148256182670593,0.4484412968158722,0.30139026045799255,1.0,0.28503449409999576,0.18745771336243572,0.19328268891124725,0.24681367758540146,0.17724043956585248,0.2222643275813387,0.3568107588334693,0.2816704714021339,0.24302478574493042,0.37002924125130704,0.2643040822279012,0.4816976676676727,N
6,6,7,0.41422608494758606,0.43385758996009827,0.33287036418914795,0.2184928059577942,0.2653178572654724,0.2655436396598816,0.3550722599029541,0.3104720413684845,0.35302287340164185,0.3985753655433655,0.22759458422660828,1.0,0.27931427342982373,0.18544647209680676,0.1897018513830938,0.24112177351072264,0.175497248553207,0.22568024563335692,0.36959513970504837,0.28766883683102396,0.24056344029651955,0.3694715067282277,0.26993021636232184,0.47448874725663154,N
7,6,8,0.5316680073738098,0.3007281422615051,0.27410778403282166,0.19477778673171997,0.26826828718185425,0.24742759764194489,0.4376579225063324,0.4064561426639557,0.30043864250183105,0.5864271521568298,0.33471599221229553,1.0,0.27311258577304753,0.1832367281248518,0.1859830660501584,0.2355294043068188,0.17417952874425582,0.2295534815494494,0.3828588996553211,0.2946465108803376,0.2379347564180018,0.3686401021475543,0.2753731317653138,0.46583298331305595,N
8,6,9,0.5328142046928406,0.32510972023010254,0.4788794219493866,0.5134790539741516,0.2869705259799957,0.37346816062927246,0.5950894355773926,0.4170571267604828,0.22090041637420654,0.4730108678340912,0.39709481596946716,1.0,0.26644669011877703,0.18075744379425504,0.18205944382219,0.23007972772323632,0.17344583413437212,0.23380736624781237,0.3966522476788454,0.30247466325764644,0.2350337758599393,0.36749879291574744,0.2805897124088644,0.45568683429813617,N
9,6,10,0.3627510070800781,0.2695356607437134,0.29517823457717896,0.25224775075912476,0.20378807187080383,0.43013545870780945,0.663546085357666,0.3620646595954895,0.2842508852481842,0.8680112361907959,0.6240242719650269,1.0,0.25925199996529785,0.17794267309680525,0.1778699752145264,0.22495484236579305,0.17335474209072999,0.23836622423721932,0.41099525784399077,0.3109554514966657,0.231764002854259,0.3660037928663057,0.2855283357438358,0.44407422605475627,N
